Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"LA FOLIE DES GRANDEURS","HOUDI","LA FOLIE DES GRANDEURS","Favorite Albums","Album","197338210840","3hmrOoaJBVATgdxKvkDtul"
"Uncut Dope","Geto Boys","Uncut Dope","Favorite Albums","Album","886444200332","7caok0dVcdy1tLFuvIf92H"
"LMF","Freeze corleone","LMF","Favorite Albums","Album","00602507460020","7zrUnXByeOKHbXY3fyn6vz"
"Curtain Call: The Hits (Deluxe Edition)","Eminem","Curtain Call: The Hits (Deluxe Edition)","Favorite Albums","Album","00602498890844","5qENHeCSlwWpEzb25peRmQ"
"Premiere consultation","Doc Gynéco","Premiere consultation","Favorite Albums","Album","0724384508456","3UACOTg56TwfNelPFsdGAg"
"Grand cru","Deen Burbigo","Grand cru","Favorite Albums","Album","00602438204977","6hb4edDi9yRlnxRDERGYTl"
"OG SAN II","Deen Burbigo","OG SAN II","Favorite Albums","Album","3617225732042","1XbH9NCM4u3alwYtj2tVW7"
"Magazine","Dalí","Magazine","Favorite Albums","Album","197509494475","2yRG15GdCZMQte1m6ug5t1"
"Perdu D'Avance","Orelsan","Perdu D'Avance","Favorite Albums","Album","3596971402723","17UiqpQyl8T8vVxz2Towjy"
"Orelsan et Gringe sont les Casseurs Flowters","Casseurs Flowters","Orelsan et Gringe sont les Casseurs Flowters","Favorite Albums","Album","3596972891892","2TGMa7UcpLmLkPhn1p3Ff4"
"Comment c'est loin","Casseurs Flowters","Comment c'est loin","Favorite Albums","Album","3596973343697","1jfBSA8KgMLol7Iahnq8wv"
"Double hélice 3","Caballero & JeanJass","Double hélice 3","Favorite Albums","Album","00602577420337","6nMcxKyjXxxA0WeIpOpnuJ"
"24K Magic","Bruno Mars","24K Magic","Favorite Albums","Album","075679904126","4PgleR09JVnm3zY1fW3XBA"
"UNE MAIN LAVE L'AUTRE","Alpha Wann","UNE MAIN LAVE L'AUTRE","Favorite Albums","Album","00602577009884","7KNQIQwGaW7FnFsa7I3Kl7"
"don dada mixtape vol 1","Alpha Wann","don dada mixtape vol 1","Favorite Albums","Album","00602435378589","0Wd9loAJUFFGJ6mGyTL00I"
"KIDS SEE GHOSTS","KIDS SEE GHOSTS","KIDS SEE GHOSTS","Favorite Albums","Album","00602567803911","6pwuKxMUkNg673KETsXPUV"
"ye","Kanye West","ye","Favorite Albums","Album","00602577303111","2Ek1q2haOnxVqhvVKqMvJe"
"The Life Of Pablo","Kanye West","The Life Of Pablo","Favorite Albums","Album","00602557027334","7gsWAHLeT0w7es6FofOXk1"
"Yeezus","Kanye West","Yeezus","Favorite Albums","Album","00602537439263","7D2NdGvBHIavgLhmcwhluK"
"My Beautiful Dark Twisted Fantasy","Kanye West","My Beautiful Dark Twisted Fantasy","Favorite Albums","Album","00602527474465","20r762YmB5HeofjMCiPMLv"
"Late Registration","Kanye West","Late Registration","Favorite Albums","Album","00602498824016","5ll74bqtkcXlKE7wwkMq4g"
"The College Dropout","Kanye West","The College Dropout","Favorite Albums","Album","00602567922186","4Uv86qWpGTxf7fU7lG5X6F"
